question,choices,answer
"The sanctions against the school were a punishing blow , and they seemed to what the efforts the school had made to change ?",ignore|enforce|authoritarian|yell at|avoid,ignore
Sammy wanted to go to where the people were . Where might he go ?,race track|populated areas|the desert|apartment|roadblock,populated areas
To locate a choker not located in a jewelry box or boutique where would you go ?,jewelry store|neck|jewlery box|jewelry box|boutique,jewelry store
Google Maps and other highway and street GPS services have replaced what ?,united states|mexico|countryside|atlas|oceans,atlas
"The fox walked from the city into the forest , what was it looking for ?",pretty flowers .|hen house|natural habitat|storybook|dense forest,natural habitat
What home entertainment equipment requires cable ?,radio shack|substation|cabinet|television|desk,television
"The only baggage the woman checked was a drawstring bag , where was she heading with it ?",garbage can|military|jewelry store|safe|airport,airport
"The forgotten leftovers had gotten quite old , he found it covered in mold in the back of his what ?",carpet|refrigerator|breadbox|fridge|coach,refrigerator
What do people use to absorb extra ink from a fountain pen ?,shirt pocket|calligrapher 's hand|inkwell|desk drawer|blotter,blotter
Where is a business restaurant likely to be located ?,town|at hotel|mall|business sector|yellow pages,business sector
Where do you put your grapes just before checking out ?,mouth|grocery cart|super market|fruit basket|fruit market,grocery cart
"Before getting a divorce , what did the wife feel who was doing all the work ?",harder|anguish|bitterness|tears|sadness,bitterness
Johnny sat on a bench and relaxed after doing a lot of work on his hobby . Where is he ?,state park|bus depot|garden|gym|rest area,garden
James was cooling off two quickly . He would die if he did n't find some way to stop what ?,loss of heat|revenge|expansion|relaxation|calm down,loss of heat
"Of all the rooms in a house it was his favorite , the aromas always drew him to the what ?",yard|basement|kitchen|living room|garden,kitchen
"Bill is stuck in marsh when a man comes up to him peaking Cajun , where is he ?",low lands|new york|forest|louisiana|everglades,louisiana
What is it called when you slowly cook using a grill ?,backyard|restaurant|crockpot|neighbor 's house|barbeque,barbeque
What type of person typically contracts illness ?,hospital|head|sick person|elderly person|doctor 's office,elderly person
Where would you expect to find a pizzeria while shopping ?,chicago|street|little italy|food court|capital cities,food court
"When eating everything on the tasting menu , what does one tend to feel ?",full stomach|getting full|gaining weight|sick|satisfaction,getting full
What does playing soccer for a long time lead to ?,excitement|fatigue|anger|hurting|getting tired,getting tired
Which entrance would you use if you do not want to use the back entrance ?,side|main|anterior|current|front,main
You can share files with someone if you have a connection to a what ?,freeway|radio|wires|computer network|electrical circuit,computer network
"The accelerator was controller via a hand throttle , and the foot pedals controlled the steering in the small what ?",car|fuel system|accelerate|boat|airplane,airplane
"Sean was lying about the body , but he was very scared . He constantly worried about what ?",the reward money|hurt feelings|being found out|problems|trouble,being found out
"The drug kingpin told his man to run errands , this was code to go to all the dealers to do what they had ?",park|make time for|receive instructions|take money|leave work,take money
"Though he could 've kept going his body appreciated the rest , it had been constantly what during the day ?",walk|lay down|working|moving|exercise,moving
Too many people want exotic snakes . The demand is driving what to carry them ?,ditch|shop|north america|pet shops|outdoors,pet shops
"Joe suffered many consequences from stabbing a stranger to death . Among them , the family of the victim did something to him . What was that ?",knife wounds|buy a gun|bleeding|jail time|law suit,law suit
To prevent any glare during the big football game he made sure to clean the dust of his what ?,television|attic|corner|they can not clean corner and library during football match they can not need that|ground,television
"I have something in my head I want to share , what ways can I do that ?",write an essay|organize thoughts|speak information|summarize main points|have information,speak information
"He wanted a house that was gated off from other places , where should he start looking ?",neighborhood|subdivision|city|suburbs|street,subdivision
Where in Southern Europe would you find many canals ?,michigan|new york|amsterdam|venice|bridge,venice
What would a camper need to do before he or she can start cooking food ?,make breakfast|go hiking|pack or bag|light fire|grab a match,light fire
What could happen to a paper if you leave it outside even if it does not move ?,one material often recycled|ripped|saturated with water|one dimensional|crumpled,saturated with water
